source_node_type,source_slug,source_name,source_rule,source_object_count,stall_id,unlock_day,close_day,day1_status,day2_status,day3_status,offer_slots,free_rerolls,local_shop_id,local_shop_name,mapping_rule,catalog_status,playable_item_count,encounter_status,offer_mode,reward_profile_id,reward_profile_kind,reward_profile_rule,reward_item_ids,reward_failure_code
merchant,tok-s-clocks,Tok's Clocks,"sells haste, slow and cooldown items.",55,merchant_tok-s-clocks,4,,未开放,未开放,未开放,3,1,special_merchant,普贤,先固定前三天来源摊位，再做冲突图着色；地点内各摊位独立抽取，不合并货池。,playable,52,playable,pet,shop_reward.merchant_tok-s-clocks,pet,source_stall_relation,,SHOP_REWARD_PROFILE_INVALID
trainer,zara,Zara,teaches haste and charge skills,25,trainer_zara,5,,未开放,未开放,未开放,3,1,special_merchant,普贤,先固定前三天来源摊位，再做冲突图着色；地点内各摊位独立抽取，不合并货池。,reserved,0,playable,training_service,shop_reward.trainer_zara,training_service,explicit_item_ids,"skill_party_attack_1, skill_party_shield_1, build_skill_a_strike_1",SHOP_REWARD_PROFILE_INVALID
merchant,chronos,Chronos,sells haste items.,32,merchant_chronos,6,,未开放,未开放,未开放,3,1,elite_high,文殊,先固定前三天来源摊位，再做冲突图着色；地点内各摊位独立抽取，不合并货池。,playable,29,playable,pet,shop_reward.merchant_chronos,pet,source_stall_relation,,SHOP_REWARD_PROFILE_INVALID
merchant,vanessa,Vanessa,sells items from this hero,5,merchant_vanessa,4,,未开放,未开放,未开放,3,1,elite_high,文殊,先固定前三天来源摊位，再做冲突图着色；地点内各摊位独立抽取，不合并货池。,playable,5,playable,pet,shop_reward.merchant_vanessa,pet,source_stall_relation,,SHOP_REWARD_PROFILE_INVALID
merchant,aimbot,Aimbot,sells crit items from any hero,24,merchant_aimbot,5,,未开放,未开放,未开放,3,1,tier_pT1,镇元大仙,先固定前三天来源摊位，再做冲突图着色；地点内各摊位独立抽取，不合并货池。,playable,21,playable,pet,shop_reward.merchant_aimbot,pet,source_stall_relation,,SHOP_REWARD_PROFILE_INVALID
trainer,c4,C4,teaches ammo skills,10,trainer_c4,4,,未开放,未开放,未开放,3,1,tier_pT1,镇元大仙,先固定前三天来源摊位，再做冲突图着色；地点内各摊位独立抽取，不合并货池。,reserved,0,playable,training_service,shop_reward.trainer_c4,training_service,explicit_item_ids,"skill_party_attack_1, build_skill_a_strike_1, build_skill_a_strike_2",SHOP_REWARD_PROFILE_INVALID
merchant,hef,Hef,sells burn items.,23,merchant_hef,4,,未开放,未开放,未开放,3,1,tier_pT2,观音菩萨,先固定前三天来源摊位，再做冲突图着色；地点内各摊位独立抽取，不合并货池。,playable,20,playable,pet,shop_reward.merchant_hef,pet,source_stall_relation,,SHOP_REWARD_PROFILE_INVALID
trainer,regenald,Regenald,"teaches health, heal and regen skills",9,trainer_regenald,5,,未开放,未开放,未开放,3,1,tier_pT2,观音菩萨,先固定前三天来源摊位，再做冲突图着色；地点内各摊位独立抽取，不合并货池。,reserved,0,playable,training_service,shop_reward.trainer_regenald,training_service,explicit_item_ids,"skill_hero_vitality_1, skill_party_vitality_1, build_skill_b_guard_2",SHOP_REWARD_PROFILE_INVALID
merchant,gastro,Gastro,sells foods,1,merchant_gastro,5,,未开放,未开放,未开放,3,1,tier_pT3,白骨精,先固定前三天来源摊位，再做冲突图着色；地点内各摊位独立抽取，不合并货池。,playable,1,playable,pet,shop_reward.merchant_gastro,pet,source_stall_relation,,SHOP_REWARD_PROFILE_INVALID
merchant,kev-s-armory,Kev's Armory,sells health and shield items,16,merchant_kev-s-armory,6,,未开放,未开放,未开放,3,1,tier_pT3,白骨精,先固定前三天来源摊位，再做冲突图着色；地点内各摊位独立抽取，不合并货池。,playable,14,playable,pet,shop_reward.merchant_kev-s-armory,pet,source_stall_relation,,SHOP_REWARD_PROFILE_INVALID
merchant,cobweb,Cobweb,sells slow items.,27,merchant_cobweb,4,,未开放,未开放,未开放,3,1,role_召唤铺场,黄袍怪,先固定前三天来源摊位，再做冲突图着色；地点内各摊位独立抽取，不合并货池。,playable,24,playable,pet,shop_reward.merchant_cobweb,pet,source_stall_relation,,SHOP_REWARD_PROFILE_INVALID
trainer,fortis,Fortis,teaches shield skills,10,trainer_fortis,6,,未开放,未开放,未开放,3,1,role_召唤铺场,黄袍怪,先固定前三天来源摊位，再做冲突图着色；地点内各摊位独立抽取，不合并货池。,reserved,0,playable,training_service,shop_reward.trainer_fortis,training_service,explicit_item_ids,"skill_party_defense_1, skill_party_shield_1, build_skill_b_guard_1, build_skill_b_guard_2",SHOP_REWARD_PROFILE_INVALID
merchant,dryad,Dryad,sells friend items,27,merchant_dryad,6,,未开放,未开放,未开放,3,1,role_机动压制,百花羞,先固定前三天来源摊位，再做冲突图着色；地点内各摊位独立抽取，不合并货池。,playable,24,playable,pet,shop_reward.merchant_dryad,pet,source_stall_relation,,SHOP_REWARD_PROFILE_INVALID
merchant,lord-oak,Lord Oak,receives Lord Oak package items,3,merchant_lord-oak,4,,未开放,未开放,未开放,3,1,role_机动压制,百花羞,先固定前三天来源摊位，再做冲突图着色；地点内各摊位独立抽取，不合并货池。,reserved,0,playable,merchant_service,shop_reward.merchant_lord-oak,merchant_service,explicit_item_ids,"upgrade_first_pet, upgrade_duplicate_first_pet, build_hero_vitality_1",SHOP_REWARD_PROFILE_INVALID
merchant,shelter-shelby,Shelter Shelby,receives Shelter Shelby package items,3,merchant_shelter-shelby,5,,未开放,未开放,未开放,3,1,role_抗压承伤,宝象国国王,先固定前三天来源摊位，再做冲突图着色；地点内各摊位独立抽取，不合并货池。,reserved,0,playable,merchant_service,shop_reward.merchant_shelter-shelby,merchant_service,explicit_item_ids,"build_hero_vitality_1, economy_free_refresh, upgrade_first_pet",SHOP_REWARD_PROFILE_INVALID
merchant,the-tester,The Tester,sells tech items from any hero,18,merchant_the-tester,4,,未开放,未开放,未开放,3,1,role_抗压承伤,宝象国国王,先固定前三天来源摊位，再做冲突图着色；地点内各摊位独立抽取，不合并货池。,playable,15,playable,pet,shop_reward.merchant_the-tester,pet,source_stall_relation,,SHOP_REWARD_PROFILE_INVALID
merchant,gaseo,Gaseo,sells apparel from any hero,14,merchant_gaseo,4,,未开放,未开放,未开放,3,1,role_重甲抗压,金角大王,先固定前三天来源摊位，再做冲突图着色；地点内各摊位独立抽取，不合并货池。,playable,11,playable,pet,shop_reward.merchant_gaseo,pet,source_stall_relation,,SHOP_REWARD_PROFILE_INVALID
merchant,tatiana,Tatiana,receives Tatiana package items,3,merchant_tatiana,6,,未开放,未开放,未开放,3,1,role_重甲抗压,金角大王,先固定前三天来源摊位，再做冲突图着色；地点内各摊位独立抽取，不合并货池。,reserved,0,playable,merchant_service,shop_reward.merchant_tatiana,merchant_service,explicit_item_ids,"economy_discount_50, upgrade_duplicate_first_pet, build_economy_brokerage_1",SHOP_REWARD_PROFILE_INVALID
merchant,orion,Orion,sells tools,18,merchant_orion,6,,未开放,未开放,未开放,3,1,role_远点压制,银角大王,先固定前三天来源摊位，再做冲突图着色；地点内各摊位独立抽取，不合并货池。,playable,16,playable,pet,shop_reward.merchant_orion,pet,source_stall_relation,,SHOP_REWARD_PROFILE_INVALID
merchant,pol,Pol,sells large items,14,merchant_pol,5,,未开放,未开放,未开放,3,1,role_风系铺场,九尾狐,先固定前三天来源摊位，再做冲突图着色；地点内各摊位独立抽取，不合并货池。,playable,11,playable,pet,shop_reward.merchant_pol,pet,source_stall_relation,,SHOP_REWARD_PROFILE_INVALID
merchant,freiya,Freiya,sells freeze items.,9,merchant_freiya,4,,未开放,未开放,未开放,3,1,role_风系牵制,狐阿七,先固定前三天来源摊位，再做冲突图着色；地点内各摊位独立抽取，不合并货池。,playable,6,playable,pet,shop_reward.merchant_freiya,pet,source_stall_relation,,SHOP_REWARD_PROFILE_INVALID
merchant,knightshade,Knightshade,sells poison items.,14,merchant_knightshade,6,,未开放,未开放,未开放,3,1,role_火系压制,狮猁王,先固定前三天来源摊位，再做冲突图着色；地点内各摊位独立抽取，不合并货池。,playable,11,playable,pet,shop_reward.merchant_knightshade,pet,source_stall_relation,,SHOP_REWARD_PROFILE_INVALID
