波次ID,天数,时段,回合,宠物ID,名称(自动),元素(自动),怪物定位(自动),HP(自动),攻(自动),防(自动),盾(自动),行动(自动),数量,位置,本行威胁(自动),设计目的,失败惩罚,奖励影响,备注
wave_d02_morning,2,上午,1,pal_001,棉悠悠,风,小怪,6,1,0,0,3,1,front_split,24,继续清场，开始加入轻量拖场召唤。 提供低血爽杀，保证玩家每回合都有明确可清目标。,城堡-1 / 资源-1 / 经济x0.88,5回合内高奖；6-10回合每回合-5%；10回合失败,
wave_d02_morning,2,上午,2,pal_022,遁地鼠,土,肉盾,25,1,0,0,2,1,front_cluster,38,继续清场，开始加入轻量拖场召唤。 让玩家第一次感知“不是所有怪都能一回合处理”。,城堡-1 / 资源-1 / 经济x0.88,5回合内高奖；6-10回合每回合-5%；10回合失败,
wave_d02_morning,2,上午,3,pal_088,冰棘兽,水,护盾怪,15,2,0,6,3,1,mid_cluster,42,继续清场，开始加入轻量拖场召唤。 把薄盾题引入战斗，不让玩家被厚盾低血直接劝退。,城堡-1 / 资源-1 / 经济x0.88,5回合内高奖；6-10回合每回合-5%；10回合失败,
wave_d02_morning,2,上午,4,pal_001,棉悠悠,风,小怪,6,1,0,0,3,1,mid_split,24,继续清场，开始加入轻量拖场召唤。 提供低血爽杀，保证玩家每回合都有明确可清目标。,城堡-1 / 资源-1 / 经济x0.88,5回合内高奖；6-10回合每回合-5%；10回合失败,
wave_d02_morning,2,上午,5,pal_067,流沙蛇,土,召唤怪,20,1,0,0,3,1,back_protected,38,继续清场，开始加入轻量拖场召唤。 让玩家认识“母体不杀，小怪会自己变多”。,城堡-1 / 资源-1 / 经济x0.88,5回合内高奖；6-10回合每回合-5%；10回合失败,
wave_d02_afternoon,2,下午,1,pal_001,棉悠悠,风,小怪,6,1,0,0,3,1,front_split,24,引入厚盾低血，逼玩家做单点或穿盾选择。 提供低血爽杀，保证玩家每回合都有明确可清目标。,城堡-2 / 资源-1 / 经济x0.85,5回合内高奖；6-10回合每回合-6%；10回合失败,
wave_d02_afternoon,2,下午,2,pal_022,遁地鼠,土,肉盾,25,1,0,0,2,1,front_cluster,38,引入厚盾低血，逼玩家做单点或穿盾选择。 让玩家第一次感知“不是所有怪都能一回合处理”。,城堡-2 / 资源-1 / 经济x0.85,5回合内高奖；6-10回合每回合-6%；10回合失败,
wave_d02_afternoon,2,下午,2,pal_001,棉悠悠,风,小怪,6,1,0,0,3,1,front_split,24,引入厚盾低血，逼玩家做单点或穿盾选择。 提供低血爽杀，保证玩家每回合都有明确可清目标。,城堡-2 / 资源-1 / 经济x0.85,5回合内高奖；6-10回合每回合-6%；10回合失败,
wave_d02_afternoon,2,下午,3,pal_005,火绒狐,火,护盾怪,10,2,0,6,3,1,mid_cluster,37,引入厚盾低血，逼玩家做单点或穿盾选择。 让玩家第一次明确区分“能打到血”和“只能打盾”。,城堡-2 / 资源-1 / 经济x0.85,5回合内高奖；6-10回合每回合-6%；10回合失败,
wave_d02_afternoon,2,下午,4,pal_001,棉悠悠,风,小怪,6,1,0,0,3,1,mid_split,24,引入厚盾低血，逼玩家做单点或穿盾选择。 提供低血爽杀，保证玩家每回合都有明确可清目标。,城堡-2 / 资源-1 / 经济x0.85,5回合内高奖；6-10回合每回合-6%；10回合失败,
wave_d02_afternoon,2,下午,5,pal_067,流沙蛇,土,召唤怪,20,1,0,0,3,1,back_protected,38,引入厚盾低血，逼玩家做单点或穿盾选择。 让玩家认识“母体不杀，小怪会自己变多”。,城堡-2 / 资源-1 / 经济x0.85,5回合内高奖；6-10回合每回合-6%；10回合失败,
wave_d03_morning,3,上午,1,pal_014,玉藻狐,风,偷奖励怪,15,2,0,0,4,1,back_corner,41,第一次奖励压力与补刀题，要求优先级判断。 第一次把高奖励目标和击杀顺序绑定。,城堡-1 / 资源-1 / 经济x0.86,该怪存活每回合额外掉奖；5回合内高奖；6-10回合每回合-6%；10回合失败,
wave_d03_morning,3,上午,2,pal_001,棉悠悠,风,小怪,6,1,0,0,3,1,front_split,24,第一次奖励压力与补刀题，要求优先级判断。 提供低血爽杀，保证玩家每回合都有明确可清目标。,城堡-1 / 资源-1 / 经济x0.86,5回合内高奖；6-10回合每回合-6%；10回合失败,
wave_d03_morning,3,上午,3,pal_061,苍焰狼,火,成长怪,25,2,0,0,3,1,mid_cluster,46,第一次奖励压力与补刀题，要求优先级判断。 建立成长怪的优先级认知。,城堡-1 / 资源-1 / 经济x0.86,5回合内高奖；6-10回合每回合-6%；10回合失败,
wave_d03_morning,3,上午,4,pal_040,炎魔羊,火,反击怪,25,4,0,0,3,1,front_cluster,52,第一次奖励压力与补刀题，要求优先级判断。 把输出优化题变成资源损耗题。,城堡-1 / 资源-1 / 经济x0.86,5回合内高奖；6-10回合每回合-6%；10回合失败,
wave_d03_morning,3,上午,5,pal_002,捣蛋猫,风,首伤怪,20,3,0,0,3,1,back_protected,44,第一次奖励压力与补刀题，要求优先级判断。 要求玩家把多段与收尾工具留给正确目标。,城堡-1 / 资源-1 / 经济x0.86,5回合内高奖；6-10回合每回合-6%；10回合失败,
wave_d03_afternoon,3,下午,1,pal_001,棉悠悠,风,小怪,6,1,0,0,3,1,front_split,24,第一次多回合处理题，开始区分拖刀与爆发。 提供低血爽杀，保证玩家每回合都有明确可清目标。,城堡-2 / 资源-1 / 经济x0.83,5回合内高奖；6-10回合每回合-7%；10回合失败,
wave_d03_afternoon,3,下午,2,pal_014,玉藻狐,风,偷奖励怪,15,2,0,0,4,1,back_corner,41,第一次多回合处理题，开始区分拖刀与爆发。 第一次把高奖励目标和击杀顺序绑定。,城堡-2 / 资源-1 / 经济x0.83,该怪存活每回合额外掉奖；5回合内高奖；6-10回合每回合-7%；10回合失败,
wave_d03_afternoon,3,下午,3,pal_032,吊缚灵,土,限伤怪,30,3,0,0,3,1,front_cluster,54,第一次多回合处理题，开始区分拖刀与爆发。 逼玩家接受“这只怪不可能一回合秒掉”的事实。,城堡-2 / 资源-1 / 经济x0.83,5回合内高奖；6-10回合每回合-7%；10回合失败,
wave_d03_afternoon,3,下午,4,pal_031,鲨小子,水,成长怪,25,2,0,6,3,1,mid_cluster,52,第一次多回合处理题，开始区分拖刀与爆发。 教玩家不要把能处理的成长题留到最后。,城堡-2 / 资源-1 / 经济x0.83,5回合内高奖；6-10回合每回合-7%；10回合失败,
wave_d03_afternoon,3,下午,5,pal_009,燎火鹿,火,首伤怪,25,3,0,6,3,1,back_protected,55,第一次多回合处理题，开始区分拖刀与爆发。 用更高承击逼玩家提前规划补刀路径。,城堡-2 / 资源-1 / 经济x0.83,5回合内高奖；6-10回合每回合-7%；10回合失败,
wave_d04_morning,4,上午,1,pal_014,玉藻狐,风,偷奖励怪,15,2,0,0,4,1,back_corner,41,首伤、成长、反击开始同场出现，要求识别不同惩罚。 第一次把高奖励目标和击杀顺序绑定。,城堡-2 / 资源-1 / 经济x0.84,该怪存活每回合额外掉奖；5回合内高奖；6-10回合每回合-6%；10回合失败,
wave_d04_morning,4,上午,2,pal_067,流沙蛇,土,召唤怪,20,1,0,0,3,1,back_protected,38,首伤、成长、反击开始同场出现，要求识别不同惩罚。 让玩家认识“母体不杀，小怪会自己变多”。,城堡-2 / 资源-1 / 经济x0.84,5回合内高奖；6-10回合每回合-6%；10回合失败,
wave_d04_morning,4,上午,3,pal_032,吊缚灵,土,限伤怪,30,3,0,0,3,1,front_cluster,54,首伤、成长、反击开始同场出现，要求识别不同惩罚。 逼玩家接受“这只怪不可能一回合秒掉”的事实。,城堡-2 / 资源-1 / 经济x0.84,5回合内高奖；6-10回合每回合-6%；10回合失败,
wave_d04_morning,4,上午,4,pal_040,炎魔羊,火,反击怪,25,4,0,0,3,1,mid_cluster,52,首伤、成长、反击开始同场出现，要求识别不同惩罚。 把输出优化题变成资源损耗题。,城堡-2 / 资源-1 / 经济x0.84,5回合内高奖；6-10回合每回合-6%；10回合失败,
wave_d04_morning,4,上午,5,pal_002,捣蛋猫,风,首伤怪,20,3,0,0,3,1,back_protected,44,首伤、成长、反击开始同场出现，要求识别不同惩罚。 要求玩家把多段与收尾工具留给正确目标。,城堡-2 / 资源-1 / 经济x0.84,5回合内高奖；6-10回合每回合-6%；10回合失败,
wave_d04_afternoon,4,下午,1,pal_014,玉藻狐,风,偷奖励怪,15,2,0,0,4,1,back_corner,41,把多个中压题叠在一起，训练清尾顺序。 第一次把高奖励目标和击杀顺序绑定。,城堡-3 / 资源-1 / 经济x0.81,该怪存活每回合额外掉奖；5回合内高奖；6-10回合每回合-7%；10回合失败,
wave_d04_afternoon,4,下午,2,pal_079,焰巫狐,火,成长怪,35,3,0,0,3,1,mid_cluster,59,把多个中压题叠在一起，训练清尾顺序。 把成长题从提醒升级成硬性击杀顺序。,城堡-3 / 资源-1 / 经济x0.81,5回合内高奖；6-10回合每回合-7%；10回合失败,
wave_d04_afternoon,4,下午,2,pal_001,棉悠悠,风,小怪,6,1,0,0,3,1,front_split,24,把多个中压题叠在一起，训练清尾顺序。 提供低血爽杀，保证玩家每回合都有明确可清目标。,城堡-3 / 资源-1 / 经济x0.81,5回合内高奖；6-10回合每回合-7%；10回合失败,
wave_d04_afternoon,4,下午,3,pal_032,吊缚灵,土,限伤怪,30,3,0,0,3,1,front_cluster,54,把多个中压题叠在一起，训练清尾顺序。 逼玩家接受“这只怪不可能一回合秒掉”的事实。,城堡-3 / 资源-1 / 经济x0.81,5回合内高奖；6-10回合每回合-7%；10回合失败,
wave_d04_afternoon,4,下午,4,pal_031,鲨小子,水,成长怪,25,2,0,6,3,1,mid_cluster,52,把多个中压题叠在一起，训练清尾顺序。 教玩家不要把能处理的成长题留到最后。,城堡-3 / 资源-1 / 经济x0.81,5回合内高奖；6-10回合每回合-7%；10回合失败,
wave_d04_afternoon,4,下午,5,pal_046,月镰魔,土,反击怪,30,4,0,6,3,1,front_cluster,63,把多个中压题叠在一起，训练清尾顺序。 让玩家开始考虑站得住的单点解法。,城堡-3 / 资源-1 / 经济x0.81,5回合内高奖；6-10回合每回合-7%；10回合失败,
wave_d05_morning,5,上午,1,pal_042,炽焰牛,火,小怪,10,2,0,0,3,1,front_split,31,加入持续盾、光环、城堡压力，进入真正解题节奏。 把清杂题从“爽杀”升级成“必须及时清”。,城堡-2 / 资源-2 / 经济x0.82,5回合内高奖；6-10回合每回合-7%；10回合失败,
wave_d05_morning,5,上午,2,pal_072,融焰娘,火,光环怪,20,2,0,0,3,1,back_protected,41,加入持续盾、光环、城堡压力，进入真正解题节奏。 把优先切后排这件事讲得足够明确。,城堡-2 / 资源-2 / 经济x0.82,5回合内高奖；6-10回合每回合-7%；10回合失败,
wave_d05_morning,5,上午,3,pal_023,勾魂鱿,土,护盾怪,25,2,0,6,3,1,mid_cluster,52,加入持续盾、光环、城堡压力，进入真正解题节奏。 把“晚一回合处理代价变高”具体化给玩家。,城堡-2 / 资源-2 / 经济x0.82,5回合内高奖；6-10回合每回合-7%；10回合失败,
wave_d05_morning,5,上午,4,pal_019,寐魔,土,成长怪,30,3,0,10,3,1,front_cluster,64,加入持续盾、光环、城堡压力，进入真正解题节奏。 把破盾和控场同时压到玩家面前。,城堡-2 / 资源-2 / 经济x0.82,5回合内高奖；6-10回合每回合-7%；10回合失败,
wave_d05_morning,5,上午,4,pal_040,炎魔羊,火,反击怪,25,4,0,0,3,1,mid_split,52,加入持续盾、光环、城堡压力，进入真正解题节奏。 把输出优化题变成资源损耗题。,城堡-2 / 资源-2 / 经济x0.82,5回合内高奖；6-10回合每回合-7%；10回合失败,
wave_d05_morning,5,上午,5,pal_068,噬魂兽,土,城堡怪,25,3,0,0,2,1,front_split,44,加入持续盾、光环、城堡压力，进入真正解题节奏。 把失败惩罚提前暴露给玩家。,城堡-2 / 资源-2 / 经济x0.82,5回合内高奖；6-10回合每回合-7%；10回合失败,
wave_d05_morning,5,上午,5,pal_014,玉藻狐,风,偷奖励怪,15,2,0,0,4,1,back_corner,41,加入持续盾、光环、城堡压力，进入真正解题节奏。 第一次把高奖励目标和击杀顺序绑定。,城堡-2 / 资源-2 / 经济x0.82,该怪存活每回合额外掉奖；5回合内高奖；6-10回合每回合-7%；10回合失败,
wave_d05_afternoon,5,下午,1,pal_003,皮皮鸡,风,小怪,10,3,0,0,3,1,front_split,34,第一轮精英压轴，要求稳住 5 回合奖励线。 把本来可以拖的杂兵变成必须先收的扰动源。,城堡-3 / 资源-2 / 经济x0.79,5回合内高奖；6-10回合每回合-8%；10回合失败,
wave_d05_afternoon,5,下午,2,pal_023,勾魂鱿,土,护盾怪,25,2,0,6,3,1,mid_cluster,52,第一轮精英压轴，要求稳住 5 回合奖励线。 把“晚一回合处理代价变高”具体化给玩家。,城堡-3 / 资源-2 / 经济x0.79,5回合内高奖；6-10回合每回合-8%；10回合失败,
wave_d05_afternoon,5,下午,3,pal_029,波霸牛,风,光环怪,25,2,0,6,3,1,back_protected,52,第一轮精英压轴，要求稳住 5 回合奖励线。 把减行动和群体增益同时压给玩家。,城堡-3 / 资源-2 / 经济x0.79,5回合内高奖；6-10回合每回合-8%；10回合失败,
wave_d05_afternoon,5,下午,4,pal_089,狱焰王,火,精英怪,40,5,0,10,4,1,escort_backline,85,第一轮精英压轴，要求稳住 5 回合奖励线。 把中期阵容的容错空间压到真实战斗水平。,城堡-3 / 资源-2 / 经济x0.79,5回合内高奖；6-10回合每回合-8%；10回合失败,
wave_d05_afternoon,5,下午,5,pal_073,烽歌龙,火,城堡怪,30,4,0,0,3,1,front_cluster,57,第一轮精英压轴，要求稳住 5 回合奖励线。 把“拖着清”的代价抬高到不可忽视。,城堡-3 / 资源-2 / 经济x0.79,5回合内高奖；6-10回合每回合-8%；10回合失败,
wave_d05_afternoon,5,下午,5,pal_014,玉藻狐,风,偷奖励怪,15,2,0,0,4,1,back_corner,41,第一轮精英压轴，要求稳住 5 回合奖励线。 第一次把高奖励目标和击杀顺序绑定。,城堡-3 / 资源-2 / 经济x0.79,该怪存活每回合额外掉奖；5回合内高奖；6-10回合每回合-8%；10回合失败,
wave_d06_morning,6,上午,1,pal_006,冲浪鸭,水,小怪,10,2,0,0,3,1,front_split,31,中期组合题成形，要同时兼顾偷奖、回盾和精英伤害。 让玩家重视持续性惩罚，而不是只看当前伤害。,城堡-2 / 资源-2 / 经济x0.8,5回合内高奖；6-10回合每回合-7%；10回合失败,
wave_d06_morning,6,上午,1,pal_001,棉悠悠,风,小怪,6,1,0,0,3,1,front_split,24,中期组合题成形，要同时兼顾偷奖、回盾和精英伤害。 提供低血爽杀，保证玩家每回合都有明确可清目标。,城堡-2 / 资源-2 / 经济x0.8,5回合内高奖；6-10回合每回合-7%；10回合失败,
wave_d06_morning,6,上午,2,pal_023,勾魂鱿,土,护盾怪,25,2,0,6,3,1,mid_cluster,52,中期组合题成形，要同时兼顾偷奖、回盾和精英伤害。 把“晚一回合处理代价变高”具体化给玩家。,城堡-2 / 资源-2 / 经济x0.8,5回合内高奖；6-10回合每回合-7%；10回合失败,
wave_d06_morning,6,上午,3,pal_029,波霸牛,风,光环怪,25,2,0,6,3,1,back_protected,52,中期组合题成形，要同时兼顾偷奖、回盾和精英伤害。 把减行动和群体增益同时压给玩家。,城堡-2 / 资源-2 / 经济x0.8,5回合内高奖；6-10回合每回合-7%；10回合失败,
wave_d06_morning,6,上午,4,pal_089,狱焰王,火,精英怪,40,5,0,10,4,1,escort_backline,85,中期组合题成形，要同时兼顾偷奖、回盾和精英伤害。 把中期阵容的容错空间压到真实战斗水平。,城堡-2 / 资源-2 / 经济x0.8,5回合内高奖；6-10回合每回合-7%；10回合失败,
wave_d06_morning,6,上午,4,pal_068,噬魂兽,土,城堡怪,25,3,0,0,2,1,front_cluster,44,中期组合题成形，要同时兼顾偷奖、回盾和精英伤害。 把失败惩罚提前暴露给玩家。,城堡-2 / 资源-2 / 经济x0.8,5回合内高奖；6-10回合每回合-7%；10回合失败,
wave_d06_morning,6,上午,5,pal_026,猎狼,风,偷奖励怪,20,3,0,6,4,1,back_corner,55,中期组合题成形，要同时兼顾偷奖、回盾和精英伤害。 把奖励题升级成真正的阵容完整性检查。,城堡-2 / 资源-2 / 经济x0.8,该怪存活每回合额外掉奖；5回合内高奖；6-10回合每回合-7%；10回合失败,
wave_d06_afternoon,6,下午,1,pal_003,皮皮鸡,风,小怪,10,3,0,0,3,1,front_split,34,开始出现多机制同波压场，测试整体阵容厚度。 把本来可以拖的杂兵变成必须先收的扰动源。,城堡-3 / 资源-2 / 经济x0.77,5回合内高奖；6-10回合每回合-8%；10回合失败,
wave_d06_afternoon,6,下午,2,pal_029,波霸牛,风,光环怪,25,2,0,6,3,1,back_protected,52,开始出现多机制同波压场，测试整体阵容厚度。 把减行动和群体增益同时压给玩家。,城堡-3 / 资源-2 / 经济x0.77,5回合内高奖；6-10回合每回合-8%；10回合失败,
wave_d06_afternoon,6,下午,3,pal_055,疾旋鼬,水,召唤怪,30,2,0,6,3,1,mid_cluster,57,开始出现多机制同波压场，测试整体阵容厚度。 把召唤题和轻盾题捆在一起。,城堡-3 / 资源-2 / 经济x0.77,5回合内高奖；6-10回合每回合-8%；10回合失败,
wave_d06_afternoon,6,下午,3,pal_097,寒霜兽,水,限伤怪,40,3,0,6,3,1,front_cluster,70,开始出现多机制同波压场，测试整体阵容厚度。 把战斗从爆发检查扩展到持续处理能力检查。,城堡-3 / 资源-2 / 经济x0.77,5回合内高奖；6-10回合每回合-8%；10回合失败,
wave_d06_afternoon,6,下午,4,pal_101,雪猛犸,水,精英怪,35,4,0,15,4,1,escort_backline,82,开始出现多机制同波压场，测试整体阵容厚度。 逼玩家拿出真正意义上的强杀方案。,城堡-3 / 资源-2 / 经济x0.77,5回合内高奖；6-10回合每回合-8%；10回合失败,
wave_d06_afternoon,6,下午,4,pal_026,猎狼,风,偷奖励怪,20,3,0,6,4,1,back_corner,55,开始出现多机制同波压场，测试整体阵容厚度。 把奖励题升级成真正的阵容完整性检查。,城堡-3 / 资源-2 / 经济x0.77,该怪存活每回合额外掉奖；5回合内高奖；6-10回合每回合-8%；10回合失败,
wave_d06_afternoon,6,下午,5,pal_073,烽歌龙,火,城堡怪,30,4,0,0,3,1,front_cluster,57,开始出现多机制同波压场，测试整体阵容厚度。 把“拖着清”的代价抬高到不可忽视。,城堡-3 / 资源-2 / 经济x0.77,5回合内高奖；6-10回合每回合-8%；10回合失败,
wave_d07_morning,7,上午,1,pal_026,猎狼,风,偷奖励怪,20,3,0,6,4,1,back_corner,55,后期第一档门槛题上线，坚固与重生开始进场。 把奖励题升级成真正的阵容完整性检查。,城堡-3 / 资源-2 / 经济x0.78,该怪存活每回合额外掉奖；5回合内高奖；6-10回合每回合-8%；10回合失败,
wave_d07_morning,7,上午,2,pal_029,波霸牛,风,光环怪,25,2,0,6,3,1,back_protected,52,后期第一档门槛题上线，坚固与重生开始进场。 把减行动和群体增益同时压给玩家。,城堡-3 / 资源-2 / 经济x0.78,5回合内高奖；6-10回合每回合-8%；10回合失败,
wave_d07_morning,7,上午,3,pal_097,寒霜兽,水,限伤怪,40,3,0,6,3,1,front_cluster,70,后期第一档门槛题上线，坚固与重生开始进场。 把战斗从爆发检查扩展到持续处理能力检查。,城堡-3 / 资源-2 / 经济x0.78,5回合内高奖；6-10回合每回合-8%；10回合失败,
wave_d07_morning,7,上午,4,pal_110,魔渊龙,土,精英怪,50,4,6,6,4,1,escort_backline,100,后期第一档门槛题上线，坚固与重生开始进场。 让玩家感知真正的后期门槛题。,城堡-3 / 资源-2 / 经济x0.78,5回合内高奖；6-10回合每回合-8%；10回合失败,
wave_d07_morning,7,上午,4,pal_106,夜幕魔蝠,土,召唤怪,35,3,0,6,3,1,mid_cluster,65,后期第一档门槛题上线，坚固与重生开始进场。 把召唤题抬到后期门槛难度。,城堡-3 / 资源-2 / 经济x0.78,5回合内高奖；6-10回合每回合-8%；10回合失败,
wave_d07_morning,7,上午,5,pal_017,瞅什魔,土,肉盾,40,3,0,0,2,1,front_cluster,59,后期第一档门槛题上线，坚固与重生开始进场。 逼玩家拿出真正高攻或增伤组合，不再靠低攻磨掉。,城堡-3 / 资源-2 / 经济x0.78,5回合内高奖；6-10回合每回合-8%；10回合失败,
wave_d07_afternoon,7,下午,1,pal_026,猎狼,风,偷奖励怪,20,3,0,6,4,1,back_corner,55,双机制精英与偷奖/咒压同场，要求更成熟的解题顺序。 把奖励题升级成真正的阵容完整性检查。,城堡-4 / 资源-2 / 经济x0.75,该怪存活每回合额外掉奖；5回合内高奖；6-10回合每回合-9%；10回合失败,
wave_d07_afternoon,7,下午,2,pal_017,瞅什魔,土,肉盾,40,3,0,0,2,1,front_cluster,59,双机制精英与偷奖/咒压同场，要求更成熟的解题顺序。 逼玩家拿出真正高攻或增伤组合，不再靠低攻磨掉。,城堡-4 / 资源-2 / 经济x0.75,5回合内高奖；6-10回合每回合-9%；10回合失败,
wave_d07_afternoon,7,下午,2,pal_003,皮皮鸡,风,小怪,10,3,0,0,3,1,front_split,34,双机制精英与偷奖/咒压同场，要求更成熟的解题顺序。 把本来可以拖的杂兵变成必须先收的扰动源。,城堡-4 / 资源-2 / 经济x0.75,5回合内高奖；6-10回合每回合-9%；10回合失败,
wave_d07_afternoon,7,下午,3,pal_101,雪猛犸,水,精英怪,35,4,0,15,4,1,escort_backline,82,双机制精英与偷奖/咒压同场，要求更成熟的解题顺序。 逼玩家拿出真正意义上的强杀方案。,城堡-4 / 资源-2 / 经济x0.75,5回合内高奖；6-10回合每回合-9%；10回合失败,
wave_d07_afternoon,7,下午,3,pal_097,寒霜兽,水,限伤怪,40,3,0,6,3,1,mid_cluster,70,双机制精英与偷奖/咒压同场，要求更成熟的解题顺序。 把战斗从爆发检查扩展到持续处理能力检查。,城堡-4 / 资源-2 / 经济x0.75,5回合内高奖；6-10回合每回合-9%；10回合失败,
wave_d07_afternoon,7,下午,4,pal_106,夜幕魔蝠,土,召唤怪,35,3,0,6,3,1,mid_cluster,65,双机制精英与偷奖/咒压同场，要求更成熟的解题顺序。 把召唤题抬到后期门槛难度。,城堡-4 / 资源-2 / 经济x0.75,5回合内高奖；6-10回合每回合-9%；10回合失败,
wave_d07_afternoon,7,下午,4,pal_029,波霸牛,风,光环怪,25,2,0,6,3,1,back_protected,52,双机制精英与偷奖/咒压同场，要求更成熟的解题顺序。 把减行动和群体增益同时压给玩家。,城堡-4 / 资源-2 / 经济x0.75,5回合内高奖；6-10回合每回合-9%；10回合失败,
wave_d07_afternoon,7,下午,5,pal_073,烽歌龙,火,城堡怪,30,4,0,0,3,1,front_cluster,57,双机制精英与偷奖/咒压同场，要求更成熟的解题顺序。 把“拖着清”的代价抬高到不可忽视。,城堡-4 / 资源-2 / 经济x0.75,5回合内高奖；6-10回合每回合-9%；10回合失败,
wave_d08_morning,8,上午,1,pal_026,猎狼,风,偷奖励怪,20,3,0,6,4,1,back_corner,55,后期主线压力提高，残留怪惩罚显著放大。 把奖励题升级成真正的阵容完整性检查。,城堡-3 / 资源-2 / 经济x0.76,该怪存活每回合额外掉奖；5回合内高奖；6-10回合每回合-8%；10回合失败,
wave_d08_morning,8,上午,2,pal_089,狱焰王,火,精英怪,40,5,0,10,4,1,escort_backline,85,后期主线压力提高，残留怪惩罚显著放大。 把中期阵容的容错空间压到真实战斗水平。,城堡-3 / 资源-2 / 经济x0.76,5回合内高奖；6-10回合每回合-8%；10回合失败,
wave_d08_morning,8,上午,2,pal_006,冲浪鸭,水,小怪,10,2,0,0,3,1,front_split,31,后期主线压力提高，残留怪惩罚显著放大。 让玩家重视持续性惩罚，而不是只看当前伤害。,城堡-3 / 资源-2 / 经济x0.76,5回合内高奖；6-10回合每回合-8%；10回合失败,
wave_d08_morning,8,上午,3,pal_110,魔渊龙,土,精英怪,50,4,6,6,4,1,front_cluster,100,后期主线压力提高，残留怪惩罚显著放大。 让玩家感知真正的后期门槛题。,城堡-3 / 资源-2 / 经济x0.76,5回合内高奖；6-10回合每回合-8%；10回合失败,
wave_d08_morning,8,上午,3,pal_097,寒霜兽,水,限伤怪,40,3,0,6,3,1,mid_cluster,70,后期主线压力提高，残留怪惩罚显著放大。 把战斗从爆发检查扩展到持续处理能力检查。,城堡-3 / 资源-2 / 经济x0.76,5回合内高奖；6-10回合每回合-8%；10回合失败,
wave_d08_morning,8,上午,4,pal_106,夜幕魔蝠,土,召唤怪,35,3,0,6,3,1,mid_cluster,65,后期主线压力提高，残留怪惩罚显著放大。 把召唤题抬到后期门槛难度。,城堡-3 / 资源-2 / 经济x0.76,5回合内高奖；6-10回合每回合-8%；10回合失败,
