机制编号,机制ID,机制名,分类,适用对象,触发,条件,参数默认,效果,日志模板,机制分,强度,状态,接入状态,宠物用,怪物用,事件用,波次用,备注
M31,mech_summon_domain,宠物流领域,领域/召唤,英雄/核心,battle_start,秘斯媞雅上场,"{""summon_cap"":3}",允许我方召唤无元素小灵；召唤物不铺场,宠物流领域生效。,88,核心,设计中,待接入,1,1,1,1,
M32,mech_wind_core_gather,空涡聚合核心,领域/风,英雄/核心,battle_start,空涡龙上场,{},风系高级聚合，搬运元素层并改变位置,空涡聚合核心生效。,91,核心,设计中,待接入,1,1,1,1,
M33,mech_clone_no_element,无元素复制体,试炼/召唤,复制体,spawn,复制体生成,{},复制体无元素、不铺场、不触发行动块附魔,{unit} 是无元素复制体。,0,规则,正式,待接入,1,1,1,1,
M34,mech_beast_trial,兽群试炼,试炼,敌方英雄,battle_start,D7试炼,"{""area"":""R1-4C5-8""}",兽群统领持有4个钻石原型，按题库生成复制体,兽群统领展示考题。,0,规则,正式,待接入,1,1,1,1,
M35,mech_trial_right_top_random,右上4x4随机占位,试炼/站位,敌方,spawn,随机合法位,"{""rows"":""1-4"",""cols"":""5-8""}",敌方复制体在右上4x4随机合法空位出现,{unit} 出现在右上试炼区 {cell}。,0,规则,正式,待接入,1,1,1,1,
M36,mech_no_soil_v1,第一版三元素,规则,系统,data_validate,v1,"{""elements"":[""火"",""水"",""风""]}",第一版主池只用火水风，不做雷/土/暗,第一版三元素规则生效。,0,规则,正式,可接入,1,1,1,1,
M90,mech_burn_frontline,前线燃烧,火系,宠物,被接触/被攻击,敌方靠近或攻击,{},给攻击者或接触格附火,{unit} 前线燃烧，目标格+1火。,8,低,正式,待接入,1,1,0,1,补齐新30宠表引用
M91,mech_counter_fire,反击燃烧,火系,宠物,受击后,自身存活,{},反击并给攻击者脚下附火,{unit} 反击燃烧，攻击者脚下+1火。,29,中,正式,待接入,1,1,0,1,补齐新30宠表引用
M92,mech_bubble_shield,泡泡护盾,水系,宠物,回合开始/命中后,友方相邻,{},给相邻友方增加护盾,{unit} 泡泡护盾触发，友方获得护盾。,8,低,正式,待接入,1,1,0,1,补齐新30宠表引用
M93,mech_water_pressure,水压,水系,宠物,命中后,目标在水格或被水命中,{},追加水压伤害或控线,{unit} 水压触发，目标行动受限。,8,低,正式,待接入,1,1,0,1,补齐新30宠表引用
