item_skill_id,name_zh,description_zh,trigger_events,effect_ids,aura_ids,catalog_status
skill_tidefold_bulwark,叠潮加固,物品就绪时，为己方船长获得护盾；护盾以一比一抵挡直接伤害。,item_ready,"effect_tidefold_bulwark_bronze_shield,effect_tidefold_bulwark_silver_shield,effect_tidefold_bulwark_gold_shield,effect_tidefold_bulwark_diamond_shield",,formal
skill_homeglow_beacon,归辉双守,物品就绪时，先为己方船长恢复生命，再获得护盾；执行顺序由正式效果优先级固定。另一件友方物品成功施加减速时，为己方船长增加本场再生。,"another_friendly_item_applied_slow, item_ready","effect_homeglow_beacon_bronze_heal,effect_homeglow_beacon_bronze_shield,effect_homeglow_beacon_silver_heal,effect_homeglow_beacon_silver_shield,effect_homeglow_beacon_gold_heal,effect_homeglow_beacon_gold_shield,effect_homeglow_beacon_diamond_heal,effect_homeglow_beacon_diamond_shield,effect_homeglow_beacon_bronze_slow_response_regen,effect_homeglow_beacon_silver_slow_response_regen,effect_homeglow_beacon_gold_slow_response_regen,effect_homeglow_beacon_diamond_slow_response_regen",,formal
skill_tidescar_matchlock,潮痕蓄势,物品就绪时向敌方船长开火；另一件带弹药标签的友方物品使用后，本物品仅在本场战斗增加伤害。,"another_friendly_item_used, item_ready","effect_tidescar_matchlock_bronze_ready,effect_tidescar_matchlock_bronze_growth,effect_tidescar_matchlock_silver_ready,effect_tidescar_matchlock_silver_growth,effect_tidescar_matchlock_gold_ready,effect_tidescar_matchlock_gold_growth,effect_tidescar_matchlock_diamond_ready,effect_tidescar_matchlock_diamond_growth",,formal
skill_mistline_ratchet,雾索咬合,棘轮到点时发射雾索弹；只有相邻且带弹药标签的另一件友方物品使用后，才为自身推进充能。,"another_friendly_item_used, item_ready","effect_mistline_ratchet_bronze_ready,effect_mistline_ratchet_bronze_response,effect_mistline_ratchet_silver_ready,effect_mistline_ratchet_silver_response,effect_mistline_ratchet_gold_ready,effect_mistline_ratchet_gold_response,effect_mistline_ratchet_diamond_ready,effect_mistline_ratchet_diamond_response",,formal
skill_quadrant_linkage,四缆传动,物品就绪时先向敌方船长造成伤害，再依次为左邻、右邻、最左和最右的另一件友方物品推进充能；四种目标都排除自身，没有合法目标时不生效且不回退，同一目标可按效果顺序多次获得充能。,item_ready,"effect_quadrant_linkage_bronze_ready,effect_quadrant_linkage_bronze_left_adjacent,effect_quadrant_linkage_bronze_right_adjacent,effect_quadrant_linkage_bronze_leftmost,effect_quadrant_linkage_bronze_rightmost,effect_quadrant_linkage_silver_ready,effect_quadrant_linkage_silver_left_adjacent,effect_quadrant_linkage_silver_right_adjacent,effect_quadrant_linkage_silver_leftmost,effect_quadrant_linkage_silver_rightmost,effect_quadrant_linkage_gold_ready,effect_quadrant_linkage_gold_left_adjacent,effect_quadrant_linkage_gold_right_adjacent,effect_quadrant_linkage_gold_leftmost,effect_quadrant_linkage_gold_rightmost,effect_quadrant_linkage_diamond_ready,effect_quadrant_linkage_diamond_left_adjacent,effect_quadrant_linkage_diamond_right_adjacent,effect_quadrant_linkage_diamond_leftmost,effect_quadrant_linkage_diamond_rightmost",,formal
skill_followwake_calibrator,续响校炮,物品就绪时向敌方船长发出校准冲击；另一件带武器标签的友方物品本次使用完成后，刚使用的那件物品仅在本场战斗增加伤害；若该物品恰有一条可暴击的就绪直伤效果，还增加本场暴击率。两种增量均从它的后续使用开始生效。另一件友方物品成功暴击后，校炮仪自身推进充能。,"another_friendly_item_crit, another_friendly_item_used, item_ready","effect_followwake_calibrator_bronze_ready,effect_followwake_calibrator_bronze_response,effect_followwake_calibrator_silver_ready,effect_followwake_calibrator_silver_response,effect_followwake_calibrator_gold_ready,effect_followwake_calibrator_gold_response,effect_followwake_calibrator_diamond_ready,effect_followwake_calibrator_diamond_response,effect_followwake_calibrator_bronze_crit_response,effect_followwake_calibrator_silver_crit_response,effect_followwake_calibrator_gold_crit_response,effect_followwake_calibrator_diamond_crit_response,effect_followwake_calibrator_bronze_crit_success_charge,effect_followwake_calibrator_silver_crit_success_charge,effect_followwake_calibrator_gold_crit_success_charge,effect_followwake_calibrator_diamond_crit_success_charge",,formal
skill_dawntide_timer,晨潮定刻,战斗开始时为己方船长架起一层计时护盾；校时器就绪时向敌方船长发射校时脉冲。,"battle_start, item_ready","effect_dawntide_timer_bronze_opening_shield,effect_dawntide_timer_bronze_ready,effect_dawntide_timer_silver_opening_shield,effect_dawntide_timer_silver_ready,effect_dawntide_timer_gold_opening_shield,effect_dawntide_timer_gold_ready,effect_dawntide_timer_diamond_opening_shield,effect_dawntide_timer_diamond_ready",,formal
skill_broadside_signal_relay,列舰催发,物品就绪时，为己方所有带武器标签的物品推进充能；没有符合条件的物品时不生效。,item_ready,"effect_broadside_signal_relay_bronze_charge_weapons,effect_broadside_signal_relay_silver_charge_weapons,effect_broadside_signal_relay_gold_charge_weapons,effect_broadside_signal_relay_diamond_charge_weapons",,formal
skill_crosswind_selector,侧风择发,物品就绪时，随机选择一件除自身外且带武器标签的己方物品推进充能；没有符合条件的物品时不生效。,item_ready,"effect_crosswind_selector_bronze_charge_random_weapon,effect_crosswind_selector_silver_charge_random_weapon,effect_crosswind_selector_gold_charge_random_weapon,effect_crosswind_selector_diamond_charge_random_weapon",,formal
skill_tideglass_sidearm,镜潮点射,物品就绪时向敌方船长射击；青铜、白银、黄金、钻石分别有25%、40%、55%、70%几率暴击，暴击使本次伤害变为两倍。,item_ready,"effect_tideglass_sidearm_bronze_shot,effect_tideglass_sidearm_silver_shot,effect_tideglass_sidearm_gold_shot,effect_tideglass_sidearm_diamond_shot",,formal
skill_emberwake_lantern,余烬追潮,物品就绪时，向敌方船长施加燃烧；燃烧从下一个时钟刻开始，每刻先造成等同层数的伤害，再减少一层，且燃烧不暴击。,item_ready,"effect_emberwake_lantern_bronze_burn,effect_emberwake_lantern_silver_burn,effect_emberwake_lantern_gold_burn,effect_emberwake_lantern_diamond_burn",,formal
skill_inkwake_doser,暗潮渗毒,物品就绪时，向敌方船长施加中毒；中毒在完整间隔后于时钟刻开始阶段造成等同层数的生命伤害，不衰减、不消耗护盾且不暴击。,item_ready,"effect_inkwake_doser_bronze_poison,effect_inkwake_doser_silver_poison,effect_inkwake_doser_gold_poison,effect_inkwake_doser_diamond_poison",,formal
